500ul x5 + 30ul urd50_ura50,,
Wavelength (nm),Abs,
349,0.1210511029,
348,0.1043910831,
347,0.1043755785,
346,0.1083597168,
345,0.1068713069,
344,0.1068367437,
343,0.1080145761,
342,0.1086621433,
341,0.1089861989,
340,0.1093758643,
339,0.1104999185,
338,0.1103464738,
337,0.1116925701,
336,0.1118175611,
335,0.1135944128,
334,0.1129943281,
333,0.1141021401,
332,0.1153659075,
331,0.1160890535,
330,0.115921855,
329,0.1178866699,
328,0.1189860478,
327,0.1204694211,
326,0.1195652634,
325,0.1210892424,
324,0.1225562468,
323,0.1233643815,
322,0.1249472275,
321,0.1266564429,
320,0.1269983053,
319,0.1287951767,
318,0.1293535382,
317,0.1312851757,
316,0.1317395568,
315,0.1342842877,
314,0.1351049095,
313,0.1387269795,
312,0.1392771155,
311,0.1402814388,
310,0.1419497132,
309,0.1449566931,
308,0.1423230469,
307,0.1451660097,
306,0.1489532888,
305,0.1541204005,
304,0.1593434066,
303,0.1669846177,
302,0.1752627343,
301,0.1844313592,
300,0.1949517131,
299,0.2076843828,
298,0.2195059508,
297,0.2309901565,
296,0.2420188785,
295,0.2540878057,
294,0.2649494112,
293,0.2761079371,
292,0.2887867987,
291,0.3009430766,
290,0.3129713535,
289,0.3223083615,
288,0.3339888752,
287,0.3440343142,
286,0.353273958,
285,0.3639439344,
284,0.37453264,
283,0.3851439953,
282,0.3957450986,
281,0.4070978165,
280,0.4183536768,
279,0.4311109781,
278,0.4417642355,
277,0.4538010955,
276,0.4653107822,
275,0.4774748385,
274,0.4884348214,
273,0.5001297593,
272,0.5106536746,
271,0.522036016,
270,0.5316934586,
269,0.5417034626,
268,0.5504947305,
267,0.5594434142,
266,0.5684922338,
265,0.5761175752,
264,0.5831325054,
263,0.5898964405,
262,0.5957291722,
261,0.6014658809,
260,0.6052518487,
259,0.6084863544,
258,0.6111635566,
257,0.6127331257,
256,0.614376843,
255,0.6157777309,
254,0.6167838573,
253,0.6181243658,
252,0.6187059283,
251,0.6198330522,
250,0.6210359335,
249,0.6201896071,
248,0.6204532981,
247,0.6200116873,
246,0.6205243468,
245,0.6207860708,
244,0.6230705976,
243,0.6245241165,
242,0.6282804012,
241,0.6313442588,
240,0.6355265379,
239,0.6406578422,
238,0.6463984847,
237,0.6539253592,
236,0.6634280682,
235,0.6747734547,
234,0.687325418,
233,0.7031555176,
232,0.7213075757,
231,0.7422893047,
230,0.7660381794,
229,0.7943289876,
228,0.8273635507,
227,0.8678041697,
226,0.9150586128,
225,0.973082602,
224,1.043002725,
223,1.130059004,
222,1.236009836,
221,1.368070126,
220,1.529760003,

500ul x5 + 30ul urd50_ura50,
500ul x5 + 30ul urd50_ura50
Collection Time: 14/05/2024 10:55:19 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 162.00
<Current Wavelength> , 220.00

