empty cuvette,,
Wavelength (nm),Abs,
349,0.1194972917,
348,0.1039891243,
347,0.1036336347,
346,0.1061007679,
345,0.1059574857,
344,0.1057785898,
343,0.1067552418,
342,0.1075287685,
341,0.1067435294,
340,0.1074648127,
339,0.1092030406,
338,0.108577013,
337,0.1103856862,
336,0.110808149,
335,0.1111558825,
334,0.1115485728,
333,0.1133402884,
332,0.1141611263,
331,0.1141596138,
330,0.1152443141,
329,0.1163749471,
328,0.11705897,
327,0.1177605987,
326,0.1185195446,
325,0.1196048781,
324,0.1205545962,
323,0.1212040335,
322,0.1232484356,
321,0.1241614372,
320,0.1253731102,
319,0.1266928911,
318,0.1270452291,
317,0.1295514554,
316,0.1299906373,
315,0.1313269734,
314,0.1324813813,
313,0.1359816045,
312,0.1352108121,
311,0.1368923932,
310,0.1387401372,
309,0.1412710994,
308,0.1361429989,
307,0.1375242472,
306,0.1389585882,
305,0.1424833387,
304,0.1429554969,
303,0.145922333,
302,0.148008585,
301,0.1503971815,
300,0.1523966789,
299,0.1561699361,
298,0.1580782235,
297,0.1612021178,
296,0.1635318398,
295,0.1668777168,
294,0.1693211496,
293,0.1728717834,
292,0.1761927903,
291,0.1800156981,
290,0.1840277016,
289,0.1860577762,
288,0.1904479265,
287,0.1945802122,
286,0.1971603334,
285,0.2017886788,
284,0.2045011073,
283,0.2084753513,
282,0.2111699134,
281,0.2154911757,
280,0.2183981985,
279,0.2226996571,
278,0.2253866643,
277,0.2293165177,
276,0.2326824963,
275,0.2369917929,
274,0.2404883653,
273,0.2450474948,
272,0.2493917346,
271,0.254283607,
270,0.2589883804,
269,0.2639079094,
268,0.2691348791,
267,0.2749266624,
266,0.2813501358,
265,0.289707303,
264,0.2957240343,
263,0.3026661873,
262,0.3112003505,
261,0.3190305233,
260,0.3264224827,
259,0.3340325952,
258,0.3417645693,
257,0.3485414982,
256,0.3566093147,
255,0.3646950722,
254,0.3726989925,
253,0.3817935884,
252,0.3897009492,
251,0.3974033594,
250,0.4053249955,
249,0.4117870033,
248,0.4175676405,
247,0.4231218994,
246,0.4276885688,
245,0.4323885441,
244,0.4369614422,
243,0.4405157268,
242,0.4446048439,
241,0.4476847947,
240,0.4504371583,
239,0.4528868198,
238,0.4544513226,
237,0.4568842649,
236,0.4588860869,
235,0.4612914026,
234,0.4643168151,
233,0.4679138958,
232,0.4740617275,
231,0.4813022017,
230,0.4907839298,
229,0.5045125484,
228,0.5227210522,
227,0.5463188291,
226,0.5792960525,
225,0.6214417815,
224,0.6779412031,
223,0.7511813045,
222,0.8464403749,
221,0.9663984179,
220,1.120526433,

empty cuvette,
empty cuvette
Collection Time: 14/05/2024 10:48:00 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 160.00
<Current Wavelength> , 221.33

