500ul x5 + 30ul urd0_ura100,,
Wavelength (nm),Abs,
349,0.1207212657,
348,0.103769511,
347,0.1028694063,
346,0.10599152,
345,0.1062566563,
344,0.1063891873,
343,0.1063714921,
342,0.1078418344,
341,0.107874155,
340,0.1087048277,
339,0.1109074876,
338,0.1091900244,
337,0.1106084064,
336,0.1110268384,
335,0.1118108258,
334,0.1122163385,
333,0.1129904985,
332,0.1146837771,
331,0.1153373122,
330,0.1164894477,
329,0.1170272082,
328,0.1178034469,
327,0.1180438921,
326,0.1196405739,
325,0.1207010671,
324,0.1218770295,
323,0.1225041822,
322,0.1241519302,
321,0.1251976788,
320,0.1255749911,
319,0.1272162795,
318,0.1288507581,
317,0.1302728802,
316,0.1325017214,
315,0.1334950179,
314,0.13467291,
313,0.1385021657,
312,0.1400728822,
311,0.1415988505,
310,0.1444053948,
309,0.1493564695,
308,0.1474842578,
307,0.1525532603,
306,0.1587524712,
305,0.1678041518,
304,0.1797785163,
303,0.1934948415,
302,0.2111150771,
301,0.2328476459,
300,0.2554864883,
299,0.2813190818,
298,0.3083126545,
297,0.332885921,
296,0.3566644192,
295,0.3807897568,
294,0.4033481777,
293,0.4260798693,
292,0.4495003819,
291,0.4722492397,
290,0.4930166602,
289,0.5095354319,
288,0.5242366195,
287,0.5390048623,
286,0.5493891239,
285,0.5593563318,
284,0.5661108494,
283,0.5721133351,
282,0.5754122734,
281,0.5778039694,
280,0.5781338811,
279,0.5797533393,
278,0.5781878233,
277,0.5782666802,
276,0.5782458782,
275,0.5787065029,
274,0.5775147676,
273,0.5769230127,
272,0.577005446,
271,0.5765342116,
270,0.5760254264,
269,0.5756917596,
268,0.5760804415,
267,0.5765940547,
266,0.5771582127,
265,0.5788304806,
264,0.5799741149,
263,0.5809596181,
262,0.5820943713,
261,0.5838679075,
260,0.5846422315,
259,0.5843549371,
258,0.5851541758,
257,0.5845797062,
256,0.5846994519,
255,0.5845240355,
254,0.5843557715,
253,0.5851470828,
252,0.5856550336,
251,0.585146904,
250,0.5847679973,
249,0.5844242573,
248,0.5823690891,
247,0.5806651711,
246,0.5802280307,
245,0.5794879794,
244,0.5798874497,
243,0.5800609589,
242,0.5821863413,
241,0.5847559571,
240,0.5878966451,
239,0.5922827721,
238,0.5984113216,
237,0.6079573631,
236,0.6193098426,
235,0.6332112551,
234,0.6505693793,
233,0.6701030135,
232,0.6940521598,
231,0.7204884887,
230,0.7515899539,
229,0.7889754772,
228,0.8311399221,
227,0.8792284131,
226,0.9373454452,
225,1.005297542,
224,1.086990595,
223,1.183244348,
222,1.30036509,
221,1.439539552,
220,1.610618234,

500ul x5 + 30ul urd0_ura100,
500ul x5 + 30ul urd0_ura100
Collection Time: 14/05/2024 11:00:05 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 160.00
<Current Wavelength> , 220.00

