t0 x27,,
Wavelength (nm),Abs,
349,0.1198471412,
348,0.105272837,
347,0.1046392992,
346,0.1063648164,
345,0.1064627469,
344,0.1070065051,
343,0.1074952483,
342,0.1085713282,
341,0.1080583632,
340,0.1085320413,
339,0.1105898395,
338,0.1109295413,
337,0.1116200238,
336,0.1114139557,
335,0.1130494326,
334,0.1141073927,
333,0.1138544455,
332,0.1159084365,
331,0.1161258891,
330,0.1165719852,
329,0.1180801764,
328,0.1197325736,
327,0.1196629405,
326,0.1198665872,
325,0.1207398921,
324,0.1224799529,
323,0.1234821826,
322,0.1245045215,
321,0.1267856658,
320,0.126969561,
319,0.1278539002,
318,0.1287972331,
317,0.1313443035,
316,0.1322053969,
315,0.1342032552,
314,0.1352099925,
313,0.138577655,
312,0.1390331388,
311,0.1400993317,
310,0.1409410238,
309,0.1444513798,
308,0.1407232434,
307,0.1420702934,
306,0.1449322253,
305,0.1487703174,
304,0.1522382796,
303,0.1555811614,
302,0.1598960608,
301,0.1652419865,
300,0.170439437,
299,0.1775383651,
298,0.1834603548,
297,0.1892499775,
296,0.1955674142,
295,0.2023917139,
294,0.209428817,
293,0.217713356,
292,0.2279257178,
291,0.2390754819,
290,0.2506948709,
289,0.2633299828,
288,0.2779273987,
287,0.2973938882,
286,0.3181394339,
285,0.3437678516,
284,0.371388942,
283,0.4050795436,
282,0.4417240024,
281,0.481703788,
280,0.5238639712,
279,0.5700035095,
278,0.6160116196,
277,0.663995564,
276,0.7108188868,
275,0.7580337524,
274,0.804808557,
273,0.849825561,
272,0.8921964765,
271,0.9351893663,
270,0.97284168,
269,1.009517908,
268,1.041594505,
267,1.071222305,
266,1.095923781,
265,1.117990375,
264,1.13579154,
263,1.150044322,
262,1.158636808,
261,1.165212512,
260,1.165897727,
259,1.166101933,
258,1.161092639,
257,1.156333089,
256,1.147117972,
255,1.137807488,
254,1.127750874,
253,1.116847396,
252,1.105294347,
251,1.09450686,
250,1.084549665,
249,1.074290514,
248,1.063873172,
247,1.05496347,
246,1.048905373,
245,1.045099974,
244,1.043043017,
243,1.042735338,
242,1.046295285,
241,1.052266359,
240,1.05979681,
239,1.070374489,
238,1.082749009,
237,1.100725055,
236,1.119996667,
235,1.143771052,
234,1.171082497,
233,1.203142047,
232,1.237376571,
231,1.276623964,
230,1.321410179,
229,1.371665835,
228,1.428021669,
227,1.489776731,
226,1.558994293,
225,1.641415834,
224,1.734177589,
223,1.845250368,
222,1.976771116,
221,2.131008148,
220,2.317234278,

t0 x27,
t0 x27
Collection Time: 14/05/2024 11:09:59 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 160.00
<Current Wavelength> , 220.00

