cuvette with water,,
Wavelength (nm),Abs,
349,0.09502185136,
348,0.09563150257,
347,0.09637618065,
346,0.09735576808,
345,0.09737817943,
344,0.09708393365,
343,0.09653731436,
342,0.09807229042,
341,0.09932481498,
340,0.09854125977,
339,0.09942976385,
338,0.1000864133,
337,0.1010076776,
336,0.1011960283,
335,0.1020000726,
334,0.102677308,
333,0.1035544127,
332,0.1040877327,
331,0.1044856682,
330,0.1046141684,
329,0.10549853,
328,0.1072378382,
327,0.1085972488,
326,0.1084933877,
325,0.1097872481,
324,0.1100508794,
323,0.1115833074,
322,0.1117155701,
321,0.1118595228,
320,0.1142835617,
319,0.1150371581,
318,0.1140923798,
317,0.1169722453,
316,0.1182593554,
315,0.119617559,
314,0.1202742681,
313,0.122372441,
312,0.1238203198,
311,0.1260301173,
310,0.1290990114,
309,0.1290349364,
308,0.1246649846,
307,0.1267298758,
306,0.1292397827,
305,0.1308539808,
304,0.1336463094,
303,0.136749506,
302,0.1386110336,
301,0.1422188133,
300,0.1444711983,
299,0.1474508941,
298,0.1504243761,
297,0.1540779918,
296,0.1569463313,
295,0.1604463756,
294,0.1631685793,
293,0.1671610475,
292,0.1711487919,
291,0.1744253486,
290,0.1790010333,
289,0.1829599142,
288,0.1862470955,
287,0.1910990179,
286,0.1944988519,
285,0.1977891326,
284,0.2023618519,
283,0.2059864104,
282,0.209337458,
281,0.2132308632,
280,0.2169939131,
279,0.2202939987,
278,0.2244036347,
277,0.2281731069,
276,0.232324928,
275,0.2354777008,
274,0.2394086421,
273,0.243983984,
272,0.2494876832,
271,0.2532328069,
270,0.258257091,
269,0.2626473308,
268,0.2687165737,
267,0.2742368877,
266,0.2805258334,
265,0.2870290875,
264,0.2941271067,
263,0.3009198904,
262,0.3088904023,
261,0.3166591227,
260,0.3240773976,
259,0.3309197128,
258,0.3389461935,
257,0.3461793065,
256,0.3543877006,
255,0.362090379,
254,0.3700264096,
253,0.3785259724,
252,0.3864942491,
251,0.3941348195,
250,0.4013061225,
249,0.4073784947,
248,0.4138503075,
247,0.4186912179,
246,0.4228705168,
245,0.4282332659,
244,0.4328234792,
243,0.4365261793,
242,0.440541476,
241,0.4439913034,
240,0.4466723502,
239,0.4492765963,
238,0.4515124261,
237,0.4543526173,
236,0.4570676088,
235,0.4597250819,
234,0.463768959,
233,0.4679135978,
232,0.4732995927,
231,0.4799599648,
230,0.4896281958,
229,0.5006685257,
228,0.5156799555,
227,0.5355809927,
226,0.5593531728,
225,0.5913640857,
224,0.6307444572,
223,0.6808849573,
222,0.7400670052,
221,0.8123373985,
220,0.8969044685,

cuvette with water,
cuvette with water
Collection Time: 27/08/2024 9:24:32 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 162.00
<Current Wavelength> , 220.00

