cuvette with x5 naoh blank,,
Wavelength (nm),Abs,
349,0.09177337587,
348,0.09311730415,
347,0.09279864281,
346,0.09434893727,
345,0.09524720162,
344,0.09531383961,
343,0.09415768087,
342,0.09540630877,
341,0.09746733308,
340,0.09545442462,
339,0.09613396227,
338,0.09729196131,
337,0.09775052965,
336,0.09752575308,
335,0.09817216545,
334,0.09887706488,
333,0.09960036725,
332,0.1006427407,
331,0.1015266627,
330,0.1019264758,
329,0.1020562872,
328,0.1034791768,
327,0.1052916795,
326,0.1042796597,
325,0.1055302471,
324,0.1065493822,
323,0.1074032485,
322,0.1080630496,
321,0.1089318767,
320,0.1114817783,
319,0.1125717834,
318,0.1123776957,
317,0.1133268774,
316,0.1147752404,
315,0.1165089831,
314,0.1171397492,
313,0.1191149279,
312,0.1202392355,
311,0.1229859442,
310,0.1241796315,
309,0.1256046593,
308,0.1216761023,
307,0.1237490252,
306,0.1264359355,
305,0.1284046769,
304,0.1307576448,
303,0.1333659589,
302,0.1356911361,
301,0.1386566311,
300,0.1412237287,
299,0.1445084214,
298,0.1468703151,
297,0.1502366215,
296,0.1534361541,
295,0.15667741,
294,0.1605588645,
293,0.1640208811,
292,0.1679235995,
291,0.1727552563,
290,0.1769326627,
289,0.1809120327,
288,0.1843231618,
287,0.1888433993,
286,0.1929213107,
285,0.1966125816,
284,0.2010758072,
283,0.2041437179,
282,0.2084282488,
281,0.2125061005,
280,0.2163366228,
279,0.220344469,
278,0.2242864221,
277,0.2286371738,
276,0.2323852628,
275,0.2363271564,
274,0.2400772125,
273,0.2448988259,
272,0.2504038513,
271,0.2542148232,
270,0.2600234449,
269,0.2639706433,
268,0.2694890797,
267,0.2754053771,
266,0.2818634808,
265,0.2892208993,
264,0.2958722711,
263,0.3034192026,
262,0.3108111918,
261,0.3190082014,
260,0.3258256018,
259,0.3337583542,
258,0.3415685892,
257,0.3489252925,
256,0.3568253517,
255,0.3650562763,
254,0.3731862605,
253,0.3814273179,
252,0.389993161,
251,0.3981223702,
250,0.40549016,
249,0.4124689102,
248,0.4183527827,
247,0.4243890047,
246,0.4284287691,
245,0.4338670969,
244,0.438147217,
243,0.4427004755,
242,0.4461318851,
241,0.4504292011,
240,0.4531573355,
239,0.4561906457,
238,0.4587632716,
237,0.4618582428,
236,0.465064019,
235,0.4684658051,
234,0.4732567966,
233,0.478600353,
232,0.4858364165,
231,0.4950500131,
230,0.507302165,
229,0.5229251981,
228,0.5433203578,
227,0.5704410672,
226,0.6038806438,
225,0.6502949595,
224,0.7081136703,
223,0.7831748128,
222,0.8800765276,
221,1.000301361,
220,1.152692676,

cuvette with x5 naoh blank,
cuvette with x5 naoh blank
Collection Time: 27/08/2024 9:51:56 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 160.00
<Current Wavelength> , 220.00

