x33,,
Wavelength (nm),Abs,
349,0.1123310253,
348,0.09596761316,
347,0.09645788372,
346,0.09852472693,
345,0.09801995754,
344,0.09789893776,
343,0.09877069294,
342,0.09807387739,
341,0.09892871976,
340,0.09903486818,
339,0.1008608118,
338,0.1010839567,
337,0.1012014523,
336,0.101832509,
335,0.1027999297,
334,0.1025910527,
333,0.1032788008,
332,0.1041252688,
331,0.1052244157,
330,0.1064867228,
329,0.1065292358,
328,0.1077616066,
327,0.1079357788,
326,0.1089771166,
325,0.1099334583,
324,0.1104287133,
323,0.110299781,
322,0.112766251,
321,0.1140279844,
320,0.1143150851,
319,0.1154790297,
318,0.1159626245,
317,0.118460238,
316,0.1183315217,
315,0.1192362458,
314,0.1224752814,
313,0.1255601048,
312,0.1251006126,
311,0.1267773807,
310,0.1276312321,
309,0.1305788904,
308,0.1259330958,
307,0.1285164803,
306,0.1299693137,
305,0.1336746514,
304,0.1356334388,
303,0.1372329742,
302,0.140106231,
301,0.1438643038,
300,0.1462132037,
299,0.1500948668,
298,0.1524445117,
297,0.1559107006,
296,0.1586238891,
295,0.1623771191,
294,0.1655485034,
293,0.1681072563,
292,0.172997877,
291,0.1780641526,
290,0.1812785119,
289,0.18410182,
288,0.1885645539,
287,0.1935093105,
286,0.1968562901,
285,0.2013736367,
284,0.2043879926,
283,0.2089420557,
282,0.2121957242,
281,0.2162647694,
280,0.2196550071,
279,0.2237302214,
278,0.2272511125,
277,0.2317402065,
276,0.2355216444,
275,0.2393431813,
274,0.2426349521,
273,0.2476929575,
272,0.2515549958,
271,0.2562360168,
270,0.2617421746,
269,0.2667395175,
268,0.2716418803,
267,0.2776014805,
266,0.2840217054,
265,0.2914415002,
264,0.2975610793,
263,0.3043210506,
262,0.311892271,
261,0.3202396631,
260,0.3270826042,
259,0.3356223702,
258,0.342638582,
257,0.3501104116,
256,0.3581424356,
255,0.3659358919,
254,0.3741955459,
253,0.3823344111,
252,0.3914501071,
251,0.3991455138,
250,0.4060283005,
249,0.4124481976,
248,0.418127805,
247,0.4239749312,
246,0.4296844602,
245,0.4345609248,
244,0.4391145706,
243,0.4430289567,
242,0.4486657977,
241,0.4514569044,
240,0.4545584321,
239,0.4587065876,
238,0.4607358873,
237,0.463264823,
236,0.4670504928,
235,0.4699008465,
234,0.4747941494,
233,0.4803127348,
232,0.4879909754,
231,0.4969188571,
230,0.5082221627,
229,0.5234054327,
228,0.543358326,
227,0.5698814988,
226,0.6039595604,
225,0.6485976577,
224,0.7061033249,
223,0.7822977304,
222,0.8795390725,
221,1.000766873,
220,1.157305598,

x33,
x33
Collection Time: 1/09/2024 10:32:24 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 162.00
<Current Wavelength> , 220.00

