blank x33 stored in eppendorf tubes for 5 days1,,
Wavelength (nm),Abs,
349,0.110230647,
348,0.0960598737,
347,0.0951859653,
346,0.09757714719,
345,0.09736356884,
344,0.09714485705,
343,0.09693333507,
342,0.09739625454,
341,0.09796763211,
340,0.09805966914,
339,0.09857052565,
338,0.09898730367,
337,0.09954746068,
336,0.1000343636,
335,0.1003618613,
334,0.1012060568,
333,0.1017811,
332,0.1031259447,
331,0.1030524299,
330,0.1043869331,
329,0.1046541259,
328,0.1051872149,
327,0.1068227738,
326,0.1078500971,
325,0.1080326065,
324,0.1088400409,
323,0.1097304225,
322,0.1105193496,
321,0.1117320061,
320,0.1122154072,
319,0.1137711853,
318,0.1149961352,
317,0.1170487702,
316,0.1172053516,
315,0.1191092357,
314,0.1194458604,
313,0.1233381778,
312,0.1229972839,
311,0.1242996529,
310,0.1258954257,
309,0.1293188781,
308,0.1247956976,
307,0.1272431314,
306,0.1285638511,
305,0.1318482161,
304,0.1343375742,
303,0.1365929544,
302,0.139066577,
301,0.1429408789,
300,0.1450120956,
299,0.1486177891,
298,0.151340872,
297,0.1540955901,
296,0.1568486542,
295,0.160109669,
294,0.1638473868,
293,0.1672463715,
292,0.1720175296,
291,0.1764476895,
290,0.181014359,
289,0.1834750473,
288,0.1882357597,
287,0.1933299005,
286,0.196183905,
285,0.200646922,
284,0.2038515508,
283,0.2088320553,
282,0.2115174681,
281,0.215549171,
280,0.2191394269,
279,0.2234781533,
278,0.2266274244,
277,0.2313050479,
276,0.2353830785,
275,0.2397467196,
274,0.2432997227,
273,0.2475514859,
272,0.2522930205,
271,0.256821543,
270,0.2617110014,
269,0.266587168,
268,0.2719024718,
267,0.277859658,
266,0.2840256393,
265,0.2910799682,
264,0.2975898385,
263,0.304148376,
262,0.3120979071,
261,0.3197142482,
260,0.3271146715,
259,0.3344500959,
258,0.3418345451,
257,0.3494444191,
256,0.3583142459,
255,0.3665204048,
254,0.374461323,
253,0.3833763301,
252,0.3914691508,
251,0.3994265497,
250,0.406147033,
249,0.4130777419,
248,0.4187390506,
247,0.4243265986,
246,0.4303326607,
245,0.4352949262,
244,0.4405239224,
243,0.4444455206,
242,0.4503849447,
241,0.4548716843,
240,0.459167093,
239,0.463372767,
238,0.4681407511,
237,0.4737225175,
236,0.4786509871,
235,0.4869392812,
234,0.4960346818,
233,0.507340312,
232,0.5223296881,
231,0.5406293273,
230,0.5621487498,
229,0.5912436247,
228,0.6270561218,
227,0.6720991135,
226,0.7279164195,
225,0.7970793843,
224,0.8820458651,
223,0.9886316657,
222,1.117635012,
221,1.271510005,
220,1.46158886,

blank x33 stored in eppendorf tubes for 5 days1,
blank x33 stored in eppendorf tubes for 5 days1
Collection Time: 5/09/2024 1:09:13 PM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-09-05-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-09-05-RTG-standard.MSW
Date/Time stamp: 5/09/2024 12:56:21 PM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-09-05-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 162.00
<Current Wavelength> , 220.00

