x35 with x33,,
Wavelength (nm),Abs,
349,0.1128446609,
348,0.09775422513,
347,0.09665258229,
346,0.1004197598,
345,0.09906706214,
344,0.09785506129,
343,0.09931824356,
342,0.09992659837,
341,0.1001252681,
340,0.09937798232,
339,0.1020371616,
338,0.1011466533,
337,0.1029946059,
336,0.1029224172,
335,0.1043477952,
334,0.1043920666,
333,0.1055510715,
332,0.1055026501,
331,0.105879426,
330,0.1073465049,
329,0.108263649,
328,0.1080550775,
327,0.1093265861,
326,0.1089191362,
325,0.1115524173,
324,0.1123384312,
323,0.1132093817,
322,0.1142220721,
321,0.1153152362,
320,0.1157739833,
319,0.1171115786,
318,0.1176294386,
317,0.1197054312,
316,0.1213457882,
315,0.1228734329,
314,0.1245678663,
313,0.1272894889,
312,0.1282889098,
311,0.128710568,
310,0.1308361739,
309,0.1334612668,
308,0.1299285293,
307,0.1324261725,
306,0.134826228,
305,0.1381219476,
304,0.1398865432,
303,0.1433327198,
302,0.1454365999,
301,0.1493525654,
300,0.151897192,
299,0.1558146328,
298,0.1595108509,
297,0.1625675261,
296,0.1673278064,
295,0.1712010354,
294,0.1764463633,
293,0.1813882738,
292,0.1890289783,
291,0.1961470991,
290,0.2061830014,
289,0.2150180936,
288,0.2275936455,
287,0.2431735843,
286,0.2589176595,
285,0.2802917063,
284,0.3035914302,
283,0.3311263919,
282,0.3617637455,
281,0.3955056667,
280,0.4311327338,
279,0.4702572525,
278,0.5092826486,
277,0.5500437617,
276,0.5888954401,
275,0.6291114092,
274,0.6672853827,
273,0.7053151727,
272,0.7427675128,
271,0.7772083879,
270,0.8119806051,
269,0.8430448174,
268,0.8723359704,
267,0.8972141147,
266,0.9195837975,
265,0.9399839044,
264,0.9558008313,
263,0.9689292908,
262,0.9799816608,
261,0.9870766401,
260,0.9890117049,
259,0.9908200502,
258,0.9916704893,
257,0.988455832,
256,0.9843447208,
255,0.9790455103,
254,0.972081542,
253,0.9663806558,
252,0.9587041736,
251,0.9518224001,
250,0.9451259375,
249,0.9389431477,
248,0.9329872727,
247,0.927306056,
246,0.9246621132,
245,0.9223002195,
244,0.922945857,
243,0.9249959588,
242,0.9278070331,
241,0.9329963923,
240,0.9410148263,
239,0.9496492147,
238,0.9606150389,
237,0.9749802351,
236,0.9904228449,
235,1.010753036,
234,1.03269434,
233,1.057541251,
232,1.086800218,
231,1.11797142,
230,1.153437614,
229,1.193524718,
228,1.238194942,
227,1.286917567,
226,1.34422791,
225,1.409505367,
224,1.485615611,
223,1.580153823,
222,1.690826178,
221,1.822447062,
220,1.982406139,

x35 with x33,
x35 with x33
Collection Time: 1/09/2024 10:16:08 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 160.00
<Current Wavelength> , 220.00

