x35 with x5,,
Wavelength (nm),Abs,
349,0.1134012491,
348,0.09800292552,
347,0.09604811668,
346,0.1001902074,
345,0.09951435775,
344,0.09963475168,
343,0.09869855642,
342,0.09991610795,
341,0.1007907391,
340,0.1012049466,
339,0.1020960063,
338,0.1020231545,
337,0.1039887592,
336,0.1030631289,
335,0.1036674529,
334,0.1048995256,
333,0.1054648012,
332,0.1062183082,
331,0.1068048626,
330,0.1077011302,
329,0.1090458259,
328,0.1097122878,
327,0.1104803532,
326,0.1092486158,
325,0.1109839827,
324,0.1138191223,
323,0.1133885458,
322,0.1142977402,
321,0.1159054637,
320,0.1166967601,
319,0.11795789,
318,0.1180389673,
317,0.1206451505,
316,0.1219904497,
315,0.1243971959,
314,0.1244385317,
313,0.128248468,
312,0.128714323,
311,0.1291473806,
310,0.131670326,
309,0.1357410699,
308,0.1304002255,
307,0.1328181028,
306,0.1356904656,
305,0.1387953311,
304,0.1406250745,
303,0.1436740011,
302,0.1462284178,
301,0.1505663395,
300,0.1528273225,
299,0.1565284729,
298,0.1609095186,
297,0.1654177457,
296,0.1680873632,
295,0.1727610677,
294,0.1781685501,
293,0.1835901588,
292,0.1911592782,
291,0.1997873932,
290,0.2097573876,
289,0.2193210423,
288,0.2335548103,
287,0.2500090599,
286,0.2695614696,
285,0.2930690646,
284,0.3190569282,
283,0.3508040011,
282,0.3853802979,
281,0.4254513979,
280,0.467936486,
279,0.5124317408,
278,0.5573596954,
277,0.605866909,
276,0.6517444253,
275,0.6985021234,
274,0.7446529269,
273,0.788952291,
272,0.8336145878,
271,0.8750135899,
270,0.9155180454,
269,0.9521103501,
268,0.9860911965,
267,1.016660213,
266,1.044172287,
265,1.067438602,
264,1.085386753,
263,1.101183414,
262,1.11211586,
261,1.120863318,
260,1.124813199,
259,1.126003027,
258,1.124441743,
257,1.119823217,
256,1.114426494,
255,1.107036233,
254,1.098325491,
253,1.089303613,
252,1.079843879,
251,1.070242882,
250,1.060242176,
249,1.051796079,
248,1.044121861,
247,1.037828326,
246,1.033899546,
245,1.030490279,
244,1.030528426,
243,1.0322299,
242,1.035868764,
241,1.042519212,
240,1.05059886,
239,1.061659455,
238,1.074801803,
237,1.091553211,
236,1.110630274,
235,1.13302815,
234,1.158796787,
233,1.188113689,
232,1.221679211,
231,1.258521438,
230,1.299390554,
229,1.346435666,
228,1.398492455,
227,1.454529881,
226,1.51896739,
225,1.59466064,
224,1.682015181,
223,1.78346014,
222,1.903945804,
221,2.047625065,
220,2.220936775,

x35 with x5,
x35 with x5
Collection Time: 1/09/2024 10:14:42 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 160.00
<Current Wavelength> , 220.00

