x84 t0 remeasured,,
Wavelength (nm),Abs,
349,0.0744292438,
348,0.05880952999,
347,0.05901774019,
346,0.06249227375,
345,0.06102814525,
344,0.06116237864,
343,0.06156755984,
342,0.06179536134,
341,0.06121846661,
340,0.06222942099,
339,0.0636742264,
338,0.0633963123,
337,0.06479236484,
336,0.06437692791,
335,0.06503511965,
334,0.06590542942,
333,0.06692715734,
332,0.06752916425,
331,0.06776680052,
330,0.06868796796,
329,0.07012257725,
328,0.07105405629,
327,0.07133036107,
326,0.0715496093,
325,0.07358129323,
324,0.07402386516,
323,0.07463899255,
322,0.07637360692,
321,0.07718120515,
320,0.07860327512,
319,0.07937544584,
318,0.08007732779,
317,0.08222527802,
316,0.0827023685,
315,0.08452687413,
314,0.08575920761,
313,0.0879720971,
312,0.08869402856,
311,0.08904463798,
310,0.09029564261,
309,0.09317035973,
308,0.09352447093,
307,0.0958148241,
306,0.09717509151,
305,0.09886617213,
304,0.1007262692,
303,0.1033180058,
302,0.1038117185,
301,0.1071560308,
300,0.1086787954,
299,0.1119616106,
298,0.1147783101,
297,0.1171407625,
296,0.1200421378,
295,0.1237912625,
294,0.1280596554,
293,0.133358568,
292,0.1387766153,
291,0.1466326714,
290,0.155748412,
289,0.1639585048,
288,0.1769717336,
287,0.1920900494,
286,0.2087898105,
285,0.2308092415,
284,0.2555327415,
283,0.2845393717,
282,0.3174434304,
281,0.3534096479,
280,0.3917975724,
279,0.4332853854,
278,0.4755997956,
277,0.5185576081,
276,0.5623525381,
275,0.6063371301,
274,0.6485061049,
273,0.6903011799,
272,0.7310919762,
271,0.7709611654,
270,0.8074445724,
269,0.8428885937,
268,0.8748239875,
267,0.9050136209,
266,0.9313643575,
265,0.9547495842,
264,0.9744737744,
263,0.9902388453,
262,1.003553629,
261,1.013484597,
260,1.019171119,
259,1.022436738,
258,1.023223639,
257,1.021933079,
256,1.019218087,
255,1.015104294,
254,1.011788964,
253,1.006531358,
252,1.000905156,
251,0.994631052,
250,0.9876153469,
249,0.9819376469,
248,0.9751043916,
247,0.9701827765,
246,0.9663690329,
245,0.9646332264,
244,0.9637230039,
243,0.9662555456,
242,0.9689050317,
241,0.9744997621,
240,0.9809275866,
239,0.9894362688,
238,0.9999892116,
237,1.014605761,
236,1.030928373,
235,1.051074386,
234,1.073093891,
233,1.099562287,
232,1.129928827,
231,1.163311243,
230,1.203290939,
229,1.24696207,
228,1.296312928,
227,1.35445416,
226,1.420240164,
225,1.495702386,
224,1.585239291,
223,1.690697074,
222,1.816255212,
221,1.964484692,
220,2.144494772,

x84 t0 remeasured,
x84 t0 remeasured
Collection Time: 17/02/2025 7:09:12 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 162.00
<Current Wavelength> , 220.00

